1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65
0, 0, 0, 0, 0, 0, 0, 0, 0, 1702, 108, 0, 0, 0, 0, 0, 0, 809, 122380, 5495, 0, 0, 0, 0, 0, 487, 10698, 272004, 829, 0, 0, 0, 0, 1, 538, 9993, 80327, 61, 0, 0, 0, 0, 1, 101, 1027, 6119, 7, 0, 0, 0, 0, 5, 0, 150, 1241, 0, 0, 0, 0, 0, 0, 0, 6, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 10038, 1248, 0, 0, 0, 0, 0, 59, 1194, 107833, 1159, 0, 0, 0, 0, 1, 704, 6512, 68043, 86, 0, 0, 0, 0, 6, 298, 1642, 9600, 11, 0, 0, 0, 0, 49, 35, 376, 1634, 0, 0, 0, 0, 0, 3, 0, 46, 35, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 11, 56, 281, 1722, 52, 291, 0, 0, 248, 608, 35693, 166766, 21995, 7620, 4137, 0, 551, 902, 78153, 493522, 71422, 17535, 6778, 0, 277, 82, 16096, 143845, 33814, 6560, 716, 0, 12, 1, 874, 23989, 16691, 3351, 44, 0, 0, 0, 210, 8397, 9790, 1908, 0, 0, 0, 0, 22, 1201, 8081, 528, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 21, 138, 3114, 1018, 1, 0, 0, 145, 138, 1033, 32104, 13711, 376, 0, 0, 92, 4, 581, 17593, 12895, 272, 0, 0, 22, 19, 102, 1020, 1416, 180, 0, 0, 0, 0, 26, 5, 70, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 687, 346, 0, 0, 0, 0, 0, 44, 640, 74165, 953, 0, 0, 0, 0, 2, 610, 3623, 61539, 117, 0, 0, 0, 0, 6, 356, 2441, 10485, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1643, 245, 0, 0, 0, 0, 0, 7, 290, 23634, 809, 0, 0, 0, 0, 1, 488, 1652, 42751, 117, 0, 0, 0, 0, 8, 291, 2034, 10796, 5, 0, 0, 0, 2, 38, 52, 150, 756, 0, 0, 0, 0, 0, 16, 0, 35, 24, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 772, 88, 0, 0, 0, 0, 0, 0, 113, 32494, 3467, 0, 0, 0, 0, 0, 116, 3056, 253909, 4272, 0, 0, 0, 0, 1, 997, 13228, 259846, 1137, 0, 0, 0, 0, 6, 628, 8330, 70275, 280, 0, 0, 0, 0, 246, 149, 2785, 32171, 11, 0, 0, 1, 0, 218, 17, 960, 2651, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1109, 164, 0, 0, 0, 0, 0, 10, 365, 29298, 2293, 0, 0, 0, 0, 0, 857, 2213, 147177, 1643, 0, 0, 0, 2, 8, 1105, 7881, 175937, 96, 0, 0, 0, 0, 41, 0, 2922, 7542, 2, 0, 0, 0, 0, 0, 0, 153, 1100, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 74, 1, 0, 0, 0, 1, 171, 611, 6450, 268, 0, 0, 0, 4, 401, 1655, 24561, 1911, 0, 0, 0, 0, 19, 179, 5572, 1342, 20, 0, 0, 1, 28, 90, 1114, 223, 29, 0, 0, 0, 0, 0, 6, 0, 0, 0, epithelium
3, 1, 0, 0, 0, 0, 0, 0, 91, 28673, 1198, 0, 0, 0, 0, 0, 0, 3040, 118235, 705, 0, 0, 0, 0, 0, 133, 4212, 40501, 94, 0, 0, 0, 0, 0, 162, 1062, 7916, 21, 0, 0, 0, 0, 3, 79, 412, 3295, 4, 0, 0, 0, 0, 16, 0, 144, 679, 0, 0, 0, 0, 0, 0, 0, 2, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 291, 89, 0, 0, 0, 0, 0, 19, 328, 11192, 835, 0, 0, 0, 0, 2, 527, 1035, 39979, 73, 0, 0, 0, 0, 8, 111, 2028, 7273, 3, 0, 0, 0, 0, 0, 0, 56, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 9, 0, 0, 0, 0, 0, 0, 313, 38433, 2835, 0, 0, 0, 0, 0, 351, 5767, 368103, 738, 0, 0, 0, 0, 1, 630, 11440, 82452, 15, 0, 0, 0, 0, 3, 173, 304, 2251, 0, 0, 0, 0, 0, 27, 0, 40, 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 127, 6091, 93, 0, 0, 0, 0, 1, 859, 62037, 3073, 30, 0, 0, 0, 0, 256, 8581, 1752, 140, 0, 0, 0, 0, 116, 1678, 536, 125, 0, 0, 0, 0, 46, 327, 156, 53, 0, 0, 0, 0, 4, 39, 7, 1, 0, 0, 0, 0, 6, 8, 0, 0, 0, 0, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 432, 32, 0, 0, 0, 0, 0, 0, 33, 1390, 120, 0, 0, 0, 0, 0, 36, 461, 20604, 621, 0, 0, 0, 0, 1, 396, 1396, 36117, 755, 0, 0, 0, 1, 5, 380, 1432, 42101, 328, 0, 0, 0, 0, 236, 161, 2332, 52508, 142, 0, 0, 0, 0, 74, 1, 3078, 27548, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 83, 6, 0, 0, 18, 3, 81, 2287, 9010, 1838, 42, 0, 99, 8, 276, 4537, 28222, 10005, 436, 0, 85, 0, 161, 1690, 14942, 8347, 848, 0, 41, 28, 37, 98, 939, 780, 286, 10, 1, 8, 15, 21, 438, 381, 11, 7, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 24, 5165, 530, 0, 0, 0, 0, 0, 42, 950, 79496, 1363, 0, 0, 0, 0, 1, 833, 4711, 92739, 240, 0, 0, 0, 0, 6, 265, 2600, 19940, 16, 0, 0, 0, 0, 19, 14, 325, 1270, 0, 0, 0, 0, 1, 18, 0, 56, 53, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 261, 54, 0, 0, 0, 0, 0, 0, 91, 5194, 1045, 0, 0, 0, 0, 0, 44, 840, 99468, 2013, 0, 0, 0, 0, 1, 754, 5586, 112185, 302, 0, 0, 0, 0, 11, 425, 4761, 31016, 12, 0, 0, 0, 0, 51, 11, 597, 1986, 3, 0, 0, 0, 0, 33, 0, 118, 427, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 104, 4988, 206, 0, 0, 0, 0, 0, 109, 1007, 38647, 144, 0, 0, 0, 0, 0, 159, 1433, 15974, 0, 0, 0, 0, 1, 1, 49, 246, 567, 0, 0, 0, 0, 0, 12, 9, 26, 202, 0, 0, 0, 0, 1, 30, 0, 51, 42, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 538, 54, 0, 0, 0, 0, 0, 71, 470, 15035, 25, 0, 0, 0, 0, 2, 294, 461, 22353, 97, 0, 0, 0, 1, 2, 422, 1269, 63299, 38, 0, 0, 0, 0, 131, 38, 1503, 9372, 0, 0, 0, 0, 0, 4, 0, 42, 75, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 160, 9, 0, 0, 0, 0, 0, 0, 201, 23473, 686, 0, 0, 0, 0, 0, 153, 2322, 95329, 679, 0, 0, 0, 0, 0, 350, 3512, 55184, 151, 0, 0, 0, 0, 6, 322, 1568, 18582, 20, 0, 0, 0, 1, 122, 19, 526, 3859, 5, 0, 0, 0, 0, 39, 0, 196, 3207, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 215, 27337, 1422, 0, 0, 0, 0, 0, 200, 3493, 85972, 202, 0, 0, 0, 0, 2, 302, 3097, 18943, 16, 0, 0, 0, 0, 0, 38, 177, 1110, 2, 0, 0, 0, 0, 9, 5, 42, 277, 0, 0, 0, 0, 0, 4, 0, 12, 0, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 7, 91, 2, 0, 0, 0, 0, 0, 0, 14, 1604, 216, 0, 0, 0, 0, 0, 11, 533, 61250, 2066, 0, 0, 0, 0, 2, 947, 5300, 127221, 101, 0, 0, 0, 0, 4, 248, 1753, 7499, 5, 0, 0, 0, 0, 47, 39, 222, 1377, 0, 0, 0, 0, 0, 7, 0, 58, 57, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 14, 519, 122, 0, 0, 0, 0, 0, 0, 168, 39789, 2101, 0, 0, 0, 0, 0, 132, 3764, 152961, 893, 0, 0, 0, 0, 2, 651, 5853, 55060, 245, 0, 0, 0, 0, 4, 255, 1850, 16728, 15, 0, 0, 0, 0, 17, 6, 239, 1637, 6, 0, 0, 1, 0, 90, 0, 91, 876, epithelium
0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 53, 0, 0, 0, 0, 0, 1, 365, 23015, 237, 0, 0, 0, 0, 0, 82, 1355, 14944, 43, 0, 0, 0, 0, 0, 159, 376, 4993, 8, 0, 0, 0, 1, 3, 101, 264, 1338, 0, 0, 0, 0, 1, 15, 3, 54, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, epithelium
